detection rate,false positive rate,th
0.167042,0,29.539097
0.167042,0,29.831563
0.167042,0,30.12403
0.225151,0,30.416496
0.225151,0,30.708962
0.225151,0,31.001428
0.269873,0,31.293895
0.269873,0,31.586361
0.269873,0,31.878827
0.269873,0,32.171294
0.303045,0,32.46376
0.303045,0,32.756226
0.303045,0,33.048693
0.337697,0,33.341159
0.337697,0,33.633625
0.337697,0,33.926091
0.337697,0,34.218558
0.373356,0,34.511024
0.373356,0,34.80349
0.373356,0,35.095957
0.413991,0,35.388423
0.413991,0,35.680889
0.413991,0,35.973356
0.413991,0,36.265822
0.457943,0,36.558288
0.457943,0,36.850755
0.457943,0,37.143221
0.502784,0,37.435687
0.502784,0,37.728153
0.502784,0,38.02062
0.551179,0.000059,38.313086
0.551179,0.000059,38.605552
0.551179,0.000059,38.898019
0.551179,0.000059,39.190485
0.596789,0.000059,39.482951
0.596789,0.000059,39.775418
0.596789,0.000059,40.067884
0.643289,0.000059,40.36035
0.643289,0.000059,40.652817
0.643289,0.000059,40.945283
0.643289,0.000059,41.237749
0.687892,0.000059,41.530215
0.687892,0.000059,41.822682
0.687892,0.000059,42.115148
0.727817,0.000059,42.407614
0.727817,0.000059,42.700081
0.727817,0.000059,42.992547
0.727817,0.000059,43.285013
0.769932,0.000059,43.57748
0.769932,0.000059,43.869946
0.769932,0.000059,44.162412
0.809383,0.000059,44.454878
0.809383,0.000059,44.747345
0.809383,0.000059,45.039811
0.843324,0.000059,45.332277
0.843324,0.000059,45.624744
0.843324,0.000059,45.91721
0.843324,0.000059,46.209676
0.873001,0.000059,46.502143
0.873001,0.000059,46.794609
0.873001,0.000059,47.087075
0.896102,0.000059,47.379542
0.896102,0.000059,47.672008
0.896102,0.000059,47.964474
0.896102,0.000059,48.25694
0.91719,0.000118,48.549407
0.91719,0.000118,48.841873
0.91719,0.000118,49.134339
0.935138,0.000118,49.426806
0.935138,0.000118,49.719272
0.935138,0.000118,50.011738
0.951013,0.000118,50.304205
0.951013,0.000118,50.596671
0.951013,0.000118,50.889137
0.951013,0.000118,51.181604
0.96363,0.000118,51.47407
0.96363,0.000118,51.766536
0.96363,0.000118,52.059002
0.972634,0.000118,52.351469
0.972634,0.000118,52.643935
0.972634,0.000118,52.936401
0.972634,0.000118,53.228868
0.979742,0.000178,53.521334
0.979742,0.000178,53.8138
0.979742,0.000178,54.106267
0.985724,0.000237,54.398733
0.985724,0.000237,54.691199
0.985724,0.000237,54.983666
0.985724,0.000237,55.276132
0.989456,0.000415,55.568598
0.989456,0.000415,55.861064
0.989456,0.000415,56.153531
0.992655,0.000533,56.445997
0.992655,0.000533,56.738463
0.992655,0.000533,57.03093
0.995024,0.000711,57.323396
0.995024,0.000711,57.615862
0.995024,0.000711,57.908329
0.995024,0.000711,58.200795
0.996387,0.000948,58.493261
0.996387,0.000948,58.785727
0.996387,0.000948,59.078194
0.997334,0.001007,59.37066
0.997334,0.001007,59.663126
0.997334,0.001007,59.955593
0.997334,0.001007,60.248059
0.997512,0.001303,60.540525
0.997512,0.001303,60.832992
0.997512,0.001303,61.125458
0.997631,0.001836,61.417924
0.997631,0.001836,61.710391
0.997631,0.001836,62.002857
0.997571,0.002132,62.295323
0.997571,0.002132,62.587789
0.997571,0.002132,62.880256
0.997571,0.002132,63.172722
0.996861,0.002962,63.465188
0.996861,0.002962,63.757655
0.996861,0.002962,64.050121
0.995794,0.004087,64.342587
0.995794,0.004087,64.635054
0.995794,0.004087,64.92752
0.995794,0.004087,65.219986
0.99461,0.005331,65.512453
0.99461,0.005331,65.804919
0.99461,0.005331,66.097385
0.993543,0.006457,66.389851
0.993543,0.006457,66.682318
0.993543,0.006457,66.974784
0.993543,0.006457,67.26725
0.991826,0.008174,67.559717
0.991826,0.008174,67.852183
0.991826,0.008174,68.144649
0.989989,0.010011,68.437116
0.989989,0.010011,68.729582
0.989989,0.010011,69.022048
0.988568,0.011432,69.314514
0.988568,0.011432,69.606981
0.988568,0.011432,69.899447
0.988568,0.011432,70.191913
0.987028,0.012972,70.48438
0.987028,0.012972,70.776846
0.987028,0.012972,71.069312
0.98454,0.01546,71.361779
0.98454,0.01546,71.654245
0.98454,0.01546,71.946711
0.98454,0.01546,72.239178
0.980986,0.019014,72.531644
0.980986,0.019014,72.82411
0.980986,0.019014,73.116576
0.978498,0.021502,73.409043
0.978498,0.021502,73.701509
0.978498,0.021502,73.993975
0.978498,0.021502,74.286442
0.976188,0.023812,74.578908
0.976188,0.023812,74.871374
0.976188,0.023812,75.163841
0.974351,0.025649,75.456307
0.974351,0.025649,75.748773
0.974351,0.025649,76.04124
0.971923,0.028077,76.333706
0.971923,0.028077,76.626172
0.971923,0.028077,76.918638
0.971923,0.028077,77.211105
0.968961,0.031039,77.503571
0.968961,0.031039,77.796037
0.968961,0.031039,78.088504
0.966118,0.033882,78.38097
0.966118,0.033882,78.673436
0.966118,0.033882,78.965903
0.966118,0.033882,79.258369
0.963452,0.036548,79.550835
0.963452,0.036548,79.843302
0.963452,0.036548,80.135768
0.960846,0.039154,80.428234
0.960846,0.039154,80.7207
0.960846,0.039154,81.013167
0.958654,0.041346,81.305633
0.958654,0.041346,81.598099
0.958654,0.041346,81.890566
0.958654,0.041346,82.183032
0.957292,0.042708,82.475498
0.957292,0.042708,82.767965
0.957292,0.042708,83.060431
0.956463,0.043537,83.352897
0.956463,0.043537,83.645363
0.956463,0.043537,83.93783
0.956463,0.043537,84.230296
0.955811,0.044189,84.522762
0.955811,0.044189,84.815229
0.955811,0.044189,85.107695
0.955515,0.044485,85.400161
0.955515,0.044485,85.692628
0.955515,0.044485,85.985094
0.955515,0.044485,86.27756
0.955041,0.044959,86.570027
0.955041,0.044959,86.862493
0.955041,0.044959,87.154959
0.954863,0.045137,87.447425
0.954863,0.045137,87.739892
